log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,I,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_dir,save_file,size,date,status,note
build_template_banks_3059589_70.out,mcz_td,build,0:1:23.62,1,40.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz40_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,59572367,2026-04-08,ok,
build_template_banks_3059589_71.out,mcz_td,build,0:1:21.5,1,40.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz40p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,56373882,2026-04-08,ok,
build_template_banks_3059589_72.out,mcz_td,build,0:1:19.65,1,41.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz41_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,53177767,2026-04-08,ok,
build_template_banks_3059589_73.out,mcz_td,build,0:1:22.13,1,41.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz41p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,49964704,2026-04-08,ok,
build_template_banks_3059589_74.out,mcz_td,build,0:1:14.72,1,42.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz42_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,46766561,2026-04-08,ok,
build_template_banks_3059589_75.out,mcz_td,build,0:1:17.86,1,42.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz42p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,43555762,2026-04-08,ok,
build_template_banks_3059589_76.out,mcz_td,build,0:1:17.11,1,43.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz43_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,40321666,2026-04-08,ok,
build_template_banks_3059589_77.out,mcz_td,build,0:1:16.04,1,43.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz43p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,33854191,2026-04-08,ok,
build_template_banks_3059589_78.out,mcz_td,build,0:1:10.16,1,44.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz44_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,30641651,2026-04-08,ok,
build_template_banks_3059589_79.out,mcz_td,build,0:1:12.11,1,44.5,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz44p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,30622381,2026-04-08,ok,
build_template_banks_3059589_80.out,mcz_td,build,0:1:14.45,1,45.0,,,,,,,,0,6,61,0,15,151,51,,Taman_faceon,template_banks_z1_Taman_faceon,rp_bank_z1_mcz45_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,27472270,2026-04-08,ok,
compute_mismatch_3061329_0.out,mcz_td,mismatch,0:0:0.02,1,5.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_I0p5_z1_mcz5-45_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz5_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2138522,2026-04-08,failed,processed=0 skipped=1; template bank unavailable (OSError: Unable to synchronously open file (bad object header version number); possible runtime issue: Error:
compute_mismatch_3061329_1.out,mcz_td,mismatch,0:0:0.02,1,5.5,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_I0p5_z1_mcz5-45_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz5p5_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2101996,2026-04-08,failed,processed=0 skipped=1; template bank unavailable (OSError: Unable to synchronously open file (bad object header version number); possible runtime issue: Error:
compute_mismatch_3061329_2.out,mcz_td,mismatch,0:0:0.02,1,6.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_I0p5_z1_mcz5-45_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz6_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2082736,2026-04-08,failed,"processed=0 skipped=1; template bank unavailable (OSError: Unable to synchronously open file (addr overflow, addr = 5264, size = 960, eoa = 2048); possible runtime issue: Error:"
