log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,date,status,Note
compute_mismatch_3061329_28.out,mcz_td,mismatch,0:5:37.79,1,19.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_29.out,mcz_td,mismatch,0:5:24.12,1,19.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_30.out,mcz_td,mismatch,0:5:36.53,1,20.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_31.out,mcz_td,mismatch,0:5:35.0,1,20.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_32.out,mcz_td,mismatch,0:5:34.95,1,21.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_33.out,mcz_td,mismatch,0:5:19.9,1,21.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_34.out,mcz_td,mismatch,0:5:21.64,1,22.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_35.out,mcz_td,mismatch,0:5:19.01,1,22.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_36.out,mcz_td,mismatch,0:5:21.74,1,23.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_37.out,mcz_td,mismatch,0:5:20.53,1,23.5,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
compute_mismatch_3061329_38.out,mcz_td,mismatch,0:5:40.71,1,24.0,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,2026-04-08,ok,
