log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_path,date,status,Note
build_template_banks_3132155_43.out,mcz_td,build,0:1:56.56,1,26.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz26p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_44.out,mcz_td,build,0:1:59.37,1,27.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz27_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_45.out,mcz_td,build,0:1:56.77,1,27.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz27p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_46.out,mcz_td,build,0:1:57.17,1,28.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz28_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_47.out,mcz_td,build,0:1:56.63,1,28.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz28p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_48.out,mcz_td,build,0:1:52.73,1,29.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz29_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_49.out,mcz_td,build,0:1:53.02,1,29.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz29p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_50.out,mcz_td,build,0:1:51.05,1,30.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz30_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_51.out,mcz_td,build,0:1:49.74,1,30.5,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz30p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
build_template_banks_3132155_52.out,mcz_td,build,0:1:50.01,1,31.0,,,,,,,0,6,61,0,15,151,51,,Taman_edgeon,/work/10000/fairytien33/gw_shared_data/template_banks_z1_Taman_edgeon/rp_bank_z1_mcz31_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-29,ok,
