log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,I,I_min,I_max,I_pts,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_dir,save_file,date,status,Note
compute_mismatch_I_td_cubes_3137981_49.out,I_td,mismatch,0:5:40.33,1,15,,,,0.59,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p59_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_50.out,I_td,mismatch,0:5:43.63,1,15,,,,0.6,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p6_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_51.out,I_td,mismatch,0:5:41.93,1,15,,,,0.61,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p61_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_52.out,I_td,mismatch,0:5:40.89,1,15,,,,0.62,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p62_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_53.out,I_td,mismatch,0:5:42.89,1,15,,,,0.63,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p63_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_54.out,I_td,mismatch,0:5:29.59,1,15,,,,0.64,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p64_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_55.out,I_td,mismatch,0:5:29.88,1,15,,,,0.65,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p65_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_56.out,I_td,mismatch,0:5:40.62,1,15,,,,0.66,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p66_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_57.out,I_td,mismatch,0:5:27.6,1,15,,,,0.67,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p67_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_58.out,I_td,mismatch,0:5:27.69,1,15,,,,0.68,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p68_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_59.out,I_td,mismatch,0:5:24.88,1,15,,,,0.69,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p69_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
compute_mismatch_I_td_cubes_3137981_60.out,I_td,mismatch,0:5:37.67,1,15,,,,0.7,,,,20,70,51,0,6,61,0,15,151,51,,Taman_faceon,mismatch_z1_mcz15_I0p1-0p9_td20-70_Taman_faceon/mismatch_cubes,mismatch_cubes_z1_mcz15_I0p7_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_faceon.h5,2026-05-01,ok,
