log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,I,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_dir,save_file,date,status,Note
build_template_banks_3055124_41.out,mcz_td,build,0:1:58.27,1,25.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz25p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_42.out,mcz_td,build,0:1:55.41,1,26.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz26_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_43.out,mcz_td,build,0:1:58.65,1,26.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz26p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_44.out,mcz_td,build,0:1:55.26,1,27.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz27_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_45.out,mcz_td,build,0:1:54.05,1,27.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz27p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_46.out,mcz_td,build,0:1:57.2,1,28.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz28_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_47.out,mcz_td,build,0:1:51.34,1,28.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz28p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_48.out,mcz_td,build,0:1:47.96,1,29.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz29_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_49.out,mcz_td,build,0:1:52.55,1,29.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz29p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_50.out,mcz_td,build,0:1:53.72,1,30.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz30_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_51.out,mcz_td,build,0:1:44.63,1,30.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz30p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_52.out,mcz_td,build,0:1:49.2,1,31.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz31_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_53.out,mcz_td,build,0:1:50.43,1,31.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz31p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_54.out,mcz_td,build,0:1:41.57,1,32.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz32_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_55.out,mcz_td,build,0:1:40.26,1,32.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz32p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_56.out,mcz_td,build,0:1:41.49,1,33.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz33_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_57.out,mcz_td,build,0:1:44.7,1,33.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz33p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_58.out,mcz_td,build,0:1:40.22,1,34.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz34_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_59.out,mcz_td,build,0:1:38.73,1,34.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz34p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_60.out,mcz_td,build,0:1:38.63,1,35.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz35_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_61.out,mcz_td,build,0:1:35.23,1,35.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz35p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_62.out,mcz_td,build,0:1:34.41,1,36.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz36_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_63.out,mcz_td,build,0:1:36.15,1,36.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz36p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_64.out,mcz_td,build,0:1:34.56,1,37.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz37_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_65.out,mcz_td,build,0:1:35.08,1,37.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz37p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_66.out,mcz_td,build,0:1:34.23,1,38.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz38_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_67.out,mcz_td,build,0:1:30.49,1,38.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz38p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_68.out,mcz_td,build,0:1:26.73,1,39.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz39_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_69.out,mcz_td,build,0:1:26.3,1,39.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz39p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,ODEintWarning
build_template_banks_3055124_70.out,mcz_td,build,0:1:27.17,1,40.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz40_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_71.out,mcz_td,build,0:1:27.34,1,40.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz40p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_72.out,mcz_td,build,0:1:24.7,1,41.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz41_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_73.out,mcz_td,build,0:1:23.36,1,41.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz41p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_74.out,mcz_td,build,0:1:21.23,1,42.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz42_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_75.out,mcz_td,build,0:1:21.06,1,42.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz42p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_76.out,mcz_td,build,0:1:19.22,1,43.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz43_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_77.out,mcz_td,build,0:1:20.83,1,43.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz43p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_78.out,mcz_td,build,0:1:18.59,1,44.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz44_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_79.out,mcz_td,build,0:1:17.94,1,44.5,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz44p5_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
build_template_banks_3055124_80.out,mcz_td,build,0:1:15.28,1,45.0,,,,,,,,0,6,61,0,15,151,51,,Taman_random,template_banks_z1_Taman_random,rp_bank_z1_mcz45_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
compute_mismatch_3058761_0.out,mcz_td,mismatch,0:6:51.62,1,5.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_I0p5_z1_mcz5-45_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz5_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
compute_mismatch_3058761_1.out,mcz_td,mismatch,0:6:21.63,1,5.5,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_I0p5_z1_mcz5-45_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz5p5_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
compute_mismatch_3058761_2.out,mcz_td,mismatch,0:6:25.92,1,6.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_I0p5_z1_mcz5-45_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz6_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
compute_mismatch_3058761_3.out,mcz_td,mismatch,0:6:29.27,1,6.5,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_I0p5_z1_mcz5-45_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz6p5_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
compute_mismatch_3058761_4.out,mcz_td,mismatch,0:6:29.07,1,7.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_I0p5_z1_mcz5-45_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz7_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
compute_mismatch_3058761_5.out,mcz_td,mismatch,0:6:0.22,1,7.5,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_I0p5_z1_mcz5-45_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz7p5_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
compute_mismatch_3058761_6.out,mcz_td,mismatch,0:6:8.84,1,8.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_I0p5_z1_mcz5-45_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz8_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
compute_mismatch_3058761_7.out,mcz_td,mismatch,0:5:59.88,1,8.5,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_I0p5_z1_mcz5-45_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz8p5_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
compute_mismatch_3058761_8.out,mcz_td,mismatch,0:5:50.38,1,9.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_random,mismatch_I0p5_z1_mcz5-45_td20-70_Taman_random/mismatch_cubes,mismatch_cubes_z1_mcz9_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_random.h5,2026-04-03,ok,
