log_file,pipeline,stage,total_time,z,mcz,mcz_min,mcz_max,mcz_pts,I,td_min_ms,td_max_ms,td_pts,omega_min,omega_max,omega_pts,theta_min,theta_max,theta_pts,gamma_pts,dtype,orientation,save_dir,save_file,date,status
compute_mismatch_3053769_2.out,mcz_td,mismatch,0:5:44.89,1e-8,22.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz22_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053769_3.out,mcz_td,mismatch,0:5:34.48,1e-8,23.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz23_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053769_4.out,mcz_td,mismatch,0:5:35.09,1e-8,24.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz24_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053769_5.out,mcz_td,mismatch,0:5:49.68,1e-8,25.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz25_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053769_6.out,mcz_td,mismatch,0:5:49.23,1e-8,26.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz26_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053769_7.out,mcz_td,mismatch,0:5:37.32,1e-8,27.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz27_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053769_8.out,mcz_td,mismatch,0:5:44.91,1e-8,28.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz28_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053769_9.out,mcz_td,mismatch,0:5:26.69,1e-8,29.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz29_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053769_10.out,mcz_td,mismatch,0:5:27.66,1e-8,30.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz30_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
compute_mismatch_3053769_11.out,mcz_td,mismatch,0:5:30.99,1e-8,31.0,,,,0.5,20,70,51,0,6,61,0,15,151,51,,Taman_edgeon,mismatch_I0p5_z1e-08_mcz10-90_td20-70_Taman_edgeon/mismatch_cubes,mismatch_cubes_z1e-08_mcz31_I0p5_td20-70x51_omega0-6x61_theta0-15x151_gamma0-2pix51_Taman_edgeon.h5,2026-04-03,ok
